
"* 통계표ID : DT_1IN1002"
"* 통계표명 : 인구, 가구 및 주택 - 읍면동"
"* 수록기간 : ( 5년 : 2010 ~ 2010 )"
"* 출처 : 통계청 조사관리국 인구총조사과"
"* 파일생성일자 : 2013/08/29 16:50:19"

[주석 정보]
"통계표","주1) 가구형태"
,"
       - 일반가구(가구구분 항목 ①~④, 일반가구 내 외국인도 포함)"
,"
         ? 가족으로 이루어진 가구"
,"
         ? 가족과 5인 이하의 남남이 함께 사는 가구"
,"
         ? 1인가구"
,"
         ? 가족이 아닌 남남끼리 함께 사는 5인 이하의 가구"
,"
       - 집단가구"
,"
         ? 비혈연 6인 이상 가구 : 가족이 아닌 남남끼리 함께 사는 6인 이상의 가구(가구구분 항목 ⑤)"
,"
         ? 집단시설가구 : 기숙사나 노인요양시설?보육원 등 사회시설에 집단으로 살고 있는 가구"
,"
       - 외국인가구 : 외국인으로만 구성된 가구"
,"
 주2) 주택이외의 거처에는 오피스텔, 호텔·여관 등 숙박업소의 객실, 기숙사 및 특수 사회시설, 판잣집·비닐하우스 등이 있음"
,"
 주3) 파주시 진동면(3120021)의 (인구/가구/주택)은 파주시 군내면(3120038)에 포함"

[분류/항목 정보]
분류코드,분류/항목명,분류값,분류값명,단위,가중치
"'A","행정구역별(읍면동)","'1111069","상계5동",,
"'A","행정구역별(읍면동)","'1111072","상계8동",,
"'A","행정구역별(읍면동)","'1111073","상계9동",,
"'A","행정구역별(읍면동)","'1111074","상계10동",,
"'A","행정구역별(읍면동)","'1111075","공릉1·3동",,
"'A","행정구역별(읍면동)","'1111076","상계3·4동",,
"'A","행정구역별(읍면동)","'1111077","상계6·7동",,
"'A","행정구역별(읍면동)","'1111078","중계2·3동",,
"'A","행정구역별(읍면동)","'11120","은평구",,
"'A","행정구역별(읍면동)","'1112051","녹번동",,
"'A","행정구역별(읍면동)","'1112052","불광1동",,
"'A","행정구역별(읍면동)","'1112055","갈현1동",,
"'A","행정구역별(읍면동)","'1112056","갈현2동",,
"'A","행정구역별(읍면동)","'1112057","구산동",,
"'A","행정구역별(읍면동)","'1112058","대조동",,
"'A","행정구역별(읍면동)","'1112059","응암1동",,
"'A","행정구역별(읍면동)","'1112060","응암2동",,
"'A","행정구역별(읍면동)","'1112065","신사1동",,
"'A","행정구역별(읍면동)","'1112066","신사2동",,
"'A","행정구역별(읍면동)","'1112067","증산동",,
"'A","행정구역별(읍면동)","'1112068","수색동",,
"'A","행정구역별(읍면동)","'1112071","진관동",,
"'A","행정구역별(읍면동)","'1112072","불광2동",,
"'A","행정구역별(읍면동)","'1112073","응암3동",,
"'A","행정구역별(읍면동)","'1112074","역촌동",,
"'A","행정구역별(읍면동)","'11130","서대문구",,
"'A","행정구역별(읍면동)","'1113052","천연동",,
"'A","행정구역별(읍면동)","'1113062","홍제1동",,
"'A","행정구역별(읍면동)","'1113064","홍제3동",,
"'A","행정구역별(읍면동)","'1113065","홍제2동",,
"'A","행정구역별(읍면동)","'1113066","홍은1동",,
"'A","행정구역별(읍면동)","'1113068","홍은2동",,
"'A","행정구역별(읍면동)","'1113069","남가좌1동",,
"'A","행정구역별(읍면동)","'1113070","남가좌2동",,
"'A","행정구역별(읍면동)","'1113071","북가좌1동",,
"'A","행정구역별(읍면동)","'1113072","북가좌2동",,
"'A","행정구역별(읍면동)","'1113073","충현동",,
"'A","행정구역별(읍면동)","'1113074","북아현동",,
"'A","행정구역별(읍면동)","'1113075","신촌동",,
"'A","행정구역별(읍면동)","'1113076","연희동",,
"'A","행정구역별(읍면동)","'11140","마포구",,
"'A","행정구역별(읍면동)","'1114059","용강동",,
"'A","행정구역별(읍면동)","'1114060","대흥동",,
"'A","행정구역별(읍면동)","'1114061","염리동",,
"'A","행정구역별(읍면동)","'1114063","신수동",,
"'A","행정구역별(읍면동)","'1114066","서교동",,
"'A","행정구역별(읍면동)","'1114068","합정동",,
"'A","행정구역별(읍면동)","'1114069","망원1동",,
"'A","행정구역별(읍면동)","'1114070","망원2동",,
"'A","행정구역별(읍면동)","'1114071","연남동",,
"'A","행정구역별(읍면동)","'1114072","성산1동",,
"'A","행정구역별(읍면동)","'1114073","성산2동",,
"'A","행정구역별(읍면동)","'1114074","상암동",,
"'A","행정구역별(읍면동)","'1114075","도화동",,
"'A","행정구역별(읍면동)","'1114076","서강동",,
"'A","행정구역별(읍면동)","'1114077","공덕동",,
"'A","행정구역별(읍면동)","'1114078","아현동",,
